model,defense,family,source,benign_utility_pct,attack_utility_pct,asr_pct
claude-sonnet-3.5,camel,System-level,published,0,0,0
claude-sonnet-3.5,drift,System-level,published,33.33,34,3.09
claude-sonnet-3.5,none,No defense,published,60,55.43,11.89
claude-sonnet-3.5,piguard_detector,Detection,published,11.67,2.93,1.33
claude-sonnet-3.5,progent,System-level,published,13.33,10.63,0
claude-sonnet-3.5,prompt_guard_2_detector,Detection,published,56.67,27.69,8.199999999999999
claude-sonnet-3.5,repeat_user_prompt,Prevention,published,56.67,55.67,11.26
claude-sonnet-3.5,spotlighting_with_delimiting,Prevention,published,58.33,58.33,3.8
claude-sonnet-3.5,tool_filter,System-level,published,1.67,0.5,0
claude-sonnet-3.5,transformers_pi_detector,Detection,published,1.67,1.11,0
claude-sonnet-4.5,camel,System-level,published,0,0,0
claude-sonnet-4.5,drift,System-level,published,28.33,27.19,0.19
claude-sonnet-4.5,none,No defense,published,71.67,70.73999999999999,0.87
claude-sonnet-4.5,piguard_detector,Detection,published,13.33,2.17,0.67
claude-sonnet-4.5,progent,System-level,published,16.67,14.46,0.19
claude-sonnet-4.5,prompt_guard_2_detector,Detection,published,70,41.37,0.67
claude-sonnet-4.5,repeat_user_prompt,Prevention,published,70,74.06999999999999,0.37
claude-sonnet-4.5,spotlighting_with_delimiting,Prevention,published,68.33,68.33,0.37
claude-sonnet-4.5,tool_filter,System-level,published,0,0,0
claude-sonnet-4.5,transformers_pi_detector,Detection,published,0,1.11,0
deepseek-v4-flash,data_filter,Filtering,ours,68.33333333333333,60.61111111111111,0.8333333333333334
deepseek-v4-flash,deepseek_flash_pi_sanitizer,Filtering,ours,70,67.94444444444444,0
deepseek-v4-flash,drift,System-level,ours,36.66666666666666,33.87037037037037,0.9259259259259259
deepseek-v4-flash,minspan,MinSpan,ours,71.66666666666667,66.42592592592592,0.6851851851851851
deepseek-v4-flash,none,No defense,ours,71.66666666666667,67.07407407407408,3.148148148148148
deepseek-v4-flash,piguard_detector,Detection,ours,13.33333333333333,5.62962962962963,0.5
deepseek-v4-flash,progent,System-level,ours,10,22.59259259259259,0.7037037037037037
deepseek-v4-flash,prompt_guard_2_detector,Detection,ours,70,50.87037037037037,2.055555555555556
deepseek-v4-flash,repeat_user_prompt,Prevention,ours,70,69.68518518518518,2.407407407407407
deepseek-v4-flash,spotlighting_with_delimiting,Prevention,ours,66.66666666666667,66.03703703703704,2.462962962962963
deepseek-v4-flash,tool_filter,System-level,ours,0,0,0
deepseek-v4-flash,transformers_pi_detector,Detection,ours,1.666666666666667,0.5555555555555556,0
deepseek-v4-pro,drift,System-level,ours,36.66666666666666,30.59259259259259,3.296296296296296
deepseek-v4-pro,none,No defense,ours,75,73.5,33.88888888888889
deepseek-v4-pro,piguard_detector,Detection,ours,21.66666666666667,10.37037037037037,1.851851851851852
deepseek-v4-pro,progent,System-level,ours,8.333333333333334,39.85185185185185,16.75925925925926
deepseek-v4-pro,prompt_guard_2_detector,Detection,ours,76.66666666666667,57.07407407407408,25.14814814814815
deepseek-v4-pro,repeat_user_prompt,Prevention,ours,76.66666666666667,74.53703703703704,29.88888888888889
deepseek-v4-pro,spotlighting_with_delimiting,Prevention,ours,76.66666666666667,73.55555555555556,16.96296296296296
deepseek-v4-pro,tool_filter,System-level,ours,0,0,0
deepseek-v4-pro,transformers_pi_detector,Detection,ours,3.333333333333333,1.648148148148148,0.5185185185185185
gemini-2.5-flash,camel,System-level,published,0,0,0
gemini-2.5-flash,drift,System-level,published,18.33,12.41,2.82
gemini-2.5-flash,none,No defense,published,30,24.29,37.61
gemini-2.5-flash,piguard_detector,Detection,published,8.33,1.83,2
gemini-2.5-flash,progent,System-level,published,1.67,2.04,2.24
gemini-2.5-flash,prompt_guard_2_detector,Detection,published,26.67,11.19,23.87
